timestamp,mango_id,quality_grade,suggested_channel,maturity_label,reference_brix_range,rot_status,final_status,consistency_label,stable_frames,yolo_label,yolo_confidence,reason
2026-07-19 05:19:06,166,A级,销售通道,成熟,16-20 Brix,正常,可接受,高,14,mango_ripe,0.7157,芒果#166连续检测14帧; 多帧稳定性高; 视觉判断mango_ripe; 未读取到光谱数据; 成熟度=成熟; 糖度=较高; 腐烂=正常
2026-07-19 05:20:28,167,A级,销售通道,成熟,16-20 Brix,正常,可接受,高,18,mango_ripe,0.7790,芒果#167连续检测18帧; 多帧稳定性高; 视觉判断mango_ripe; 未读取到光谱数据; 成熟度=成熟; 糖度=较高; 腐烂=正常
2026-07-19 06:39:07,168,C级,复检通道,过熟,16-20 Brix,疑似腐烂,需要复检,高,17,mango_overripe,0.7153,芒果#168连续检测17帧; 多帧稳定性高; 视觉判断mango_overripe; 未读取到光谱数据; 成熟度=过熟; 糖度=较高; 腐烂=疑似腐烂
2026-07-19 06:39:36,169,C级,复检通道,过熟,16-20 Brix,疑似腐烂,需要复检,高,27,mango_overripe,0.7841,芒果#169连续检测27帧; 多帧稳定性高; 视觉判断mango_overripe; 未读取到光谱数据; 成熟度=过熟; 糖度=较高; 腐烂=疑似腐烂
2026-07-19 06:39:51,170,C级,复检通道,过熟,16-20 Brix,疑似腐烂,需要复检,高,25,mango_overripe,0.8356,芒果#170连续检测25帧; 多帧稳定性高; 视觉判断mango_overripe; 未读取到光谱数据; 成熟度=过熟; 糖度=较高; 腐烂=疑似腐烂
2026-07-19 06:40:03,171,C级,复检通道,过熟,16-20 Brix,疑似腐烂,需要复检,高,27,mango_overripe,0.7882,芒果#171连续检测27帧; 多帧稳定性高; 视觉判断mango_overripe; 未读取到光谱数据; 成熟度=过熟; 糖度=较高; 腐烂=疑似腐烂
2026-07-19 06:40:24,172,C级,复检通道,成熟,16-20 Brix,疑似腐烂,需要复检,中,19,mango_ripe,0.6202,芒果#172连续检测19帧; 多帧稳定性中; 视觉判断mango_ripe; 未读取到光谱数据; 成熟度=成熟; 糖度=较高; 腐烂=疑似腐烂
2026-07-19 06:40:31,173,A级,销售通道,成熟,12-16 Brix,正常,可接受,高,17,mango_ripe,0.6748,芒果#173连续检测17帧; 多帧稳定性高; 视觉判断mango_ripe; 未读取到光谱数据; 成熟度=成熟; 糖度=中等; 腐烂=正常
2026-07-19 06:41:31,174,A级,销售通道,成熟,16-20 Brix,正常,可接受,高,8,mango_ripe,0.6457,芒果#174连续检测8帧; 多帧稳定性高; 视觉判断mango_ripe; 未读取到光谱数据; 成熟度=成熟; 糖度=较高; 腐烂=正常
2026-07-19 06:41:36,175,A级,销售通道,成熟,16-20 Brix,正常,可接受,高,40,mango_ripe,0.8023,芒果#175连续检测40帧; 多帧稳定性高; 视觉判断mango_ripe; 未读取到光谱数据; 成熟度=成熟; 糖度=较高; 腐烂=正常
2026-07-19 06:41:43,176,C级,复检通道,过熟,16-20 Brix,疑似腐烂,需要复检,高,22,mango_overripe,0.6229,芒果#176连续检测22帧; 多帧稳定性高; 视觉判断mango_overripe; 未读取到光谱数据; 成熟度=过熟; 糖度=较高; 腐烂=疑似腐烂
2026-07-19 06:41:47,177,C级,复检通道,成熟,16-20 Brix,疑似腐烂,需要复检,高,40,mango_overripe,0.5736,芒果#177连续检测40帧; 多帧稳定性高; 视觉判断mango_overripe; 未读取到光谱数据; 成熟度=成熟; 糖度=较高; 腐烂=疑似腐烂
2026-07-19 06:42:06,178,C级,复检通道,过熟,16-20 Brix,疑似腐烂,需要复检,高,40,mango_overripe,0.9223,芒果#178连续检测40帧; 多帧稳定性高; 视觉判断mango_overripe; 未读取到光谱数据; 成熟度=过熟; 糖度=较高; 腐烂=疑似腐烂
2026-07-19 06:42:10,179,A级,销售通道,成熟,16-20 Brix,正常,可接受,高,40,mango_ripe,0.6179,芒果#179连续检测40帧; 多帧稳定性高; 视觉判断mango_ripe; 未读取到光谱数据; 成熟度=成熟; 糖度=较高; 腐烂=正常
2026-07-19 06:42:17,180,C级,复检通道,过熟,16-20 Brix,疑似腐烂,需要复检,高,8,mango_overripe,0.6115,芒果#180连续检测8帧; 多帧稳定性高; 视觉判断mango_overripe; 未读取到光谱数据; 成熟度=过熟; 糖度=较高; 腐烂=疑似腐烂
2026-07-19 06:42:22,181,C级,复检通道,过熟,16-20 Brix,疑似腐烂,需要复检,高,40,mango_overripe,0.8596,芒果#181连续检测40帧; 多帧稳定性高; 视觉判断mango_overripe; 未读取到光谱数据; 成熟度=过熟; 糖度=较高; 腐烂=疑似腐烂
2026-07-19 06:42:28,182,C级,复检通道,过熟,16-20 Brix,疑似腐烂,需要复检,高,40,mango_overripe,0.9112,芒果#182连续检测40帧; 多帧稳定性高; 视觉判断mango_overripe; 未读取到光谱数据; 成熟度=过熟; 糖度=较高; 腐烂=疑似腐烂
2026-07-19 06:42:46,183,A级,销售通道,成熟,16-20 Brix,正常,可接受,高,37,mango_ripe,0.7205,芒果#183连续检测37帧; 多帧稳定性高; 视觉判断mango_ripe; 未读取到光谱数据; 成熟度=成熟; 糖度=较高; 腐烂=正常
2026-07-19 06:42:52,184,A级,销售通道,成熟,12-16 Brix,正常,可接受,高,38,mango_ripe,0.7758,芒果#184连续检测38帧; 多帧稳定性高; 视觉判断mango_ripe; 未读取到光谱数据; 成熟度=成熟; 糖度=中等; 腐烂=正常
2026-07-19 06:43:41,185,C级,复检通道,过熟,16-20 Brix,疑似腐烂,需要复检,高,17,mango_overripe,0.5867,芒果#185连续检测17帧; 多帧稳定性高; 视觉判断mango_overripe; 未读取到光谱数据; 成熟度=过熟; 糖度=较高; 腐烂=疑似腐烂
2026-07-19 06:43:50,186,C级,复检通道,过熟,16-20 Brix,疑似腐烂,需要复检,高,40,mango_overripe,0.9059,芒果#186连续检测40帧; 多帧稳定性高; 视觉判断mango_overripe; 未读取到光谱数据; 成熟度=过熟; 糖度=较高; 腐烂=疑似腐烂
2026-07-19 06:43:53,187,C级,复检通道,过熟,16-20 Brix,疑似腐烂,需要复检,高,10,mango_overripe,0.6976,芒果#187连续检测10帧; 多帧稳定性高; 视觉判断mango_overripe; 未读取到光谱数据; 成熟度=过熟; 糖度=较高; 腐烂=疑似腐烂
2026-07-19 06:44:02,188,剔除,剔除通道,过熟,不建议参考,腐烂/建议剔除,建议剔除,高,40,mango_overripe,0.9061,芒果#188连续检测40帧; 多帧稳定性高; 视觉判断mango_overripe; 未读取到光谱数据; 成熟度=过熟; 糖度=过熟异常，糖度参考不可靠; 腐烂=腐烂/建议剔除
